-3.1415927 | 0.0919997 | - | 0.1013212
-2.9883443 | 0.1007029 | - | 0.1119796
-2.8350959 | 0.1106468 | - | 0.1244126
-2.6818475 | 0.1220658 | - | 0.1390375
-2.5285991 | 0.1352482 | - | 0.1564012
-2.3753507 | 0.1505505 | - | 0.1772330
-2.2221023 | 0.1684143 | - | 0.2025219
-2.0688539 | 0.1893883 | - | 0.2336363
-1.9156055 | 0.2141537 | - | 0.2725134
-1.7623571 | 0.2435518 | - | 0.3219676
-1.6091087 | 0.2786112 | - | 0.3862151
-1.4558603 | 0.3205612 | - | 0.4718029
-1.3026119 | 0.3708102 | 0.3061962 | 0.5893454
-1.1493635 | 0.4308420 | 0.4310260 | 0.7569814
-0.9961151 | 0.5019462 | 0.4866990 | 1.0078153
-0.8428667 | 0.5846503 | 0.4996003 | 1.4076096
-0.6896183 | 0.6777026 | 0.4775338 | 2.1027248
-0.5363699 | 0.7765828 | 0.4229160 | 3.4759315
-0.3831215 | 0.8720053 | 0.3362004 | 6.8128206
-0.2298731 | 0.9498105 | 0.2185849 | 18.9244687
-0.0766247 | 0.9941629 | 0.0761787 | 170.3187361
0.0766237 | 0.9941631 | 0.0761777 | 170.3231817
0.2298721 | 0.9498109 | 0.2185840 | 18.9246333
0.3831205 | 0.8720058 | 0.3361998 | 6.8128561
0.5363689 | 0.7765835 | 0.4229155 | 3.4759444
0.6896173 | 0.6777033 | 0.4775335 | 2.1027309
0.8428657 | 0.5846508 | 0.4996003 | 1.4076129
0.9961141 | 0.5019467 | 0.4866992 | 1.0078173
1.1493625 | 0.4308424 | 0.4310265 | 0.7569827
1.3026109 | 0.3708105 | 0.3061974 | 0.5893463
1.4558593 | 0.3205615 | - | 0.4718035
1.6091077 | 0.2786115 | - | 0.3862156
1.7623561 | 0.2435520 | - | 0.3219680
1.9156045 | 0.2141538 | - | 0.2725137
2.0688529 | 0.1893885 | - | 0.2336365
2.2221013 | 0.1684144 | - | 0.2025220
2.3753497 | 0.1505506 | - | 0.1772331
2.5285981 | 0.1352483 | - | 0.1564013
2.6818465 | 0.1220658 | - | 0.1390376
2.8350949 | 0.1106468 | - | 0.1244127
2.9883433 | 0.1007030 | - | 0.1119796
3.1415917 | 0.0919997 | - | 0.1013212
